#SampleID	LinkerPrimerSequence	BarcodeSequence	Name	SampleType	GPS	Population	Captive	Warren	Date Collected	Sex	Extraction Kit	Date Extracted	Lot No.	Associated EBC	Description
W7	NA	NA	W7	Faecal	"54H 0353268, 6248341"	Wonga	No	Wd	19/06/2019	U	Qiagen DNeasy Powersoil	18/07/2019	1600-54007	EBC9	NA
W8	NA	NA	W8	Faecal	"54H 0353268, 6248341"	Wonga	No	Wd	19/06/2019	U	Qiagen DNeasy Powersoil	11/07/2019	1600-54007	EBC7	NA
W9	NA	NA	W9	Faecal	"54H 0352609, 6248270"	Wonga	No	We	19/06/2019	U	Qiagen DNeasy Powersoil	24/07/2019		EBC10	NA
W10	NA	NA	W10	Faecal	"54H 0352609, 6248270"	Wonga	No	We	19/06/2019	U	Qiagen DNeasy Powersoil	11/07/2019	1600-54007	EBC7	NA
W11	NA	NA	W11	Faecal	"54H 0352609, 6248270"	Wonga	No	We	19/06/2019	U	Qiagen DNeasy Powersoil	25/07/2019		EBC 11	NA
W12	NA	NA	W12	Faecal	"54H 0352609, 6248270"	Wonga	No	We	19/06/2019	U	Qiagen DNeasy Powersoil	26/07/2019		EBC12	NA
W13	NA	NA	W13	Faecal	"54H 0352855, 6245075"	Wonga	No	Wf	20/06/2019	U	Qiagen DNeasy Powersoil	11/07/2019	1600-54007	EBC7	NA
W14	NA	NA	W14	Faecal	"54H 0352855, 6245075"	Wonga	No	Wf	20/06/2019	U	Qiagen DNeasy Powersoil	25/07/2019		EBC 11	NA
W15	NA	NA	W15	Faecal	"54H 0352805, 6245217"	Wonga	No	Wg	20/06/2019	U	Qiagen DNeasy Powersoil	11/07/2019	1600-54007	EBC7	NA
W18	NA	NA	W18	Faecal	"54H 0352805, 6245217"	Wonga	No	Wg	20/06/2019	U	Qiagen DNeasy Powersoil	25/07/2019		EBC 11	NA
W16	NA	NA	W16	Faecal	"54H 0352749, 6245309"	Wonga	No	Wh	20/06/2019	U	Qiagen DNeasy Powersoil	24/07/2019		EBC10	NA
W17	NA	NA	W17	Faecal	"54H 0352749, 6245309"	Wonga	No	Wh	20/06/2019	U	Qiagen DNeasy Powersoil	25/07/2019		EBC 11	NA
W19	NA	NA	W19	Faecal	"54H 0352233, 6246650"	Wonga	No	Wi	20/06/2019	U	Qiagen DNeasy Powersoil	24/07/2019		EBC10	NA
